budget,Genre Code,Genre_Name,Popularity,Production Company,Production Country,release_date,revenue,runtime,title,vote_average,vote_count
0,,,0,,,10/15/1997,0,94,Under the Lighthouse Dancing,0,0
0,,,2.17,,,5/13/1942,0,81,This Gun for Hire,7.1,29
0,,,7.74,,,8/2/1946,0,81,Black Angel,5.8,13
0,,,2.58,,,4/9/1948,0,95,The Big Clock,6.5,32
0,,,5.69,,,1/12/1949,0,88,Criss Cross,6.7,32
0,,,0.78,,,4/6/1979,0,116,The Fifth Musketeer,6,3
1000000,,,1.12,,,8/22/1981,0,93,Evilspeak,5.2,22
0,,,4.66,,,2/1/1946,0,60,Terror by Night,6.6,27
0,,,6.28,,,12/16/1965,0,112,The Spy Who me in from the Cold,7,73
0,,,2.54,,,12/25/1942,0,68,Sherlock Holmes and the Secret Weapon,6.8,23
0,,,1.48,,,7/27/1945,0,68,The Woman in Green,6.2,21
0,,,0.82,,,4/17/1962,0,140,The Counterfeit Traitor,5.2,10
0,,,1.51,,,8/18/1993,0,104,"One, Two, Three, Sun",5.6,4
250000,,,0.01,,,9/16/1989,0,85,Roadkill,5.3,5
0,,,6,,,6/7/1946,0,72,Dressed to Kill,6.8,21
0,,,2.45,,,4/16/2003,0,114,Bon voyage,5.7,20
0,,,6.83,,,3/9/1969,0,110,The Assassination Bureau,5.8,14
80000000,,,10.8,,,7/30/2004,96105964,129,The Manchurian ndidate,6.2,401
57000000,,,14.36,,,7/23/2004,28283637,95,Thunderbirds,4.2,92
60000000,,,8.17,,,7/30/2004,256697520,108,The Village,6.2,1101
2500000,,,11.63,,,7/28/2004,26781723,102,Garden State,7.1,631
0,,,3.93,,,10/3/1951,0,124,Early Summer,8.1,32
0,,,2.43,,,5/18/1938,0,91,Port of Shadows,7.4,31
0,,,0.95,,,12/15/1966,0,93,Thunderbirds are GO,5.9,18
0,,,0.92,,,8/3/1968,0,89,Thunderbird 6,6.1,17
0,,,1.81,,,10/1/1969,0,105,stle Keep,5.1,16
0,,,0.12,,,8/6/2002,0,106,Revengers Tragedy,3.8,2
0,,,3,,,9/20/1996,0,90,Beyond Hypothermia,5.3,4
11500000,,,1.63,,,5/16/2003,0,91,Octane,5.1,14
0,,,3.46,,,4/17/2003,0,88,PTU,6.7,30
0,,,1.2,,,9/5/1977,0,103,Unfinished Piece for Mechanil Piano,5.9,9
0,,,1.97,,,9/23/2001,0,86,The Warrior,6.3,15
0,,,10.18,,,10/16/1966,0,99,A Funny Thing Happened on the Way to the Forum,6.1,26
0,,,1.09,,,1/1/1969,0,85,Salesman,7.8,14
65000000,,,13.46,,,8/4/2004,217764291,120,Collateral,7,1476
35000000,,,5.09,,,8/6/2004,22034832,111,Little Black Book,5.2,114
7500000,,,6.1,,,9/2/2003,0,92,Code 46,6.2,116
0,,,1.27,,,10/23/1992,256249,93,In the Soup,5.9,10
0,,,0.91,,,6/1/1959,0,123,They me to Cordura,6.2,6
0,,,1.73,,,9/10/2001,0,83,Blue Spring,6.4,21
0,,,3.44,,,9/14/1988,0,108,Story of Women,7.8,21
0,,,1.78,,,10/2/1999,0,113,Attack the Gas Station!,6.3,40
0,,,0.81,,,2/11/1987,0,100,Masques,5.9,6
9000000,,,8.34,,,5/30/2004,23936908,88,Harold & Kumar Go to White stle,6.6,709
40000000,,,8.25,,,8/6/2004,95149435,113,The Princess Diaries 2: Royal Engagement,6,726
0,,,6.23,,,5/16/2003,0,100,Danny Deckchair,5.6,23
70000000,,,12.64,,,8/12/2004,171183863,101,AVP: Alien vs. Predator,5.6,1241
20000000,,,5.95,,,8/13/2004,29170410,90,Yu-Gi-Oh! The Movie,5.4,71
0,,,1.96,,,8/3/2002,0,98,Novo,6.4,10
3000000,,,2.13,,,1/20/2004,2037545,101,We Don't Live Here Anymore,5.8,29
19000000,,,6.05,,,8/20/2004,69631118,95,Without a Paddle,5.3,217
80000000,,,13.02,,,8/20/2004,78000586,114,Exorcist: The Beginning,4.7,189
0,,,1.35,,,1/1/1968,0,94,Speedway,5.3,10
0,,,0.81,,,9/3/1969,0,97,The Trouble with Girls,5.3,6
0,,,1.53,,,4/3/1963,0,105,It Happened at the World's Fair,5.4,12
0,,,0.54,,,4/5/1967,1600000,90,Double Trouble,6.1,6
0,,,1.19,,,12/14/1966,0,90,Spinout,5.2,8
0,,,0.7,,,11/24/1965,0,95,Harum Srum,5.5,4
0,,,0.87,,,7/10/1979,0,93,The Spaceman and King Arthur,5.1,7
0,,,3.66,,,2/18/1983,6347072,102,The Sting II,4.5,12
0,,,0.77,,,10/10/1962,0,102,If a Man Answers,5.4,7
0,,,1.34,,,6/1/1988,0,89,Cheerleader mp,5.2,19
0,,,0.98,,,11/20/1999,0,100,Human Resources,6.4,8
0,,,1.04,,,5/20/1983,0,103,Bill Cosby: Himself,7.5,14
0,,,1.62,,,2/19/1964,0,115,Dead Ringer,6.9,22
0,,,0.31,,,3/26/2004,0,97,Benji: Off the Leash!,4.8,6
20000000,,,10.75,,,8/26/2004,70992898,97,Anacondas: The Hunt for the Blood Orchid,4.9,200
27000000,,,7.55,,,8/27/2004,13000000,99,Suspect Zero,5.5,99
0,,,8.92,,,9/23/2003,0,114,Warriors of Heaven and Earth,6.2,32
23000000,,,6.61,,,9/1/2004,16123851,141,Vanity Fair,5.5,75
16000000,,,1.76,,,9/3/2004,12,97,The Cookout,4.6,10
20000000,,,12.55,,,9/3/2004,16605763,84,Paparazzi,5.8,52
30000000,,,5.61,,,9/3/2004,13001257,114,Wicker Park,6.7,159
500000,,,0.45,,,1/1/2002,0,92,Triggermen,4.7,3
0,,,4.2,,,12/9/1974,0,112,Alice Doesn't Live Here Anymore,6.7,83
0,,,4.3,,,3/3/1995,0,106,The Mangler,4.4,59
0,,,1.49,,,11/15/1967,0,90,Who's That Knocking at My Door,5.9,30
0,,,1.59,,,1/1/2004,0,90,Seeing Other People,5.6,8
0,,,0.48,,,1/1/1991,0,100,Past Midnight,6.3,3
0,,,0.54,,,5/15/1994,1221832,97,A Million to Juan,4.3,3
0,,,1.88,,,11/16/1979,0,117,mera Buff,7.3,17
0,,,3.26,,,6/17/1985,0,109,No End,7,5
0,,,3.92,,,2/13/2004,371396,80,Highwaymen,5.8,50
0,,,0.91,,,11/2/1990,0,95,Graffiti Bridge,5.4,8
0,,,9.16,,,8/26/1953,0,107,I Vitelloni,7.6,79
0,,,6.42,,,7/2/1986,10090429,98,Under the Cherry Moon,5.7,12
0,,,2.44,,,8/14/1963,0,87,Flipper,5.1,17
0,,,3.44,,,1/1/1975,0,113,Smile,6.9,10
0,,,7.18,,,2/15/1965,0,154,Lord Jim,6.8,21
0,,,1.65,,,3/12/1980,0,113,A Small Circle of Friends,6,1
1200000,,,6.94,,,10/14/1988,3109904,90,Night of the Demons,6.1,71
0,,,8.18,,,12/31/1986,0,98,Witchboard,5.8,59
0,,,1.85,,,12/31/1979,0,103,Roller Boogie,5,12
0,,,1.45,,,9/27/1964,0,114,Lilith,6.5,16
0,,,1.12,,,11/21/1980,0,90,The Apple,4.6,13
0,,,7.54,,,8/27/2004,9109322,88,Superbabies: Baby Geniuses 2,1.9,36
25000000,,,5.92,,,9/6/2004,56422687,94,Cellular,6.1,548
45000000,,,7.85,,,9/10/2004,129394835,94,Resident Evil: Apolypse,6.1,1286
0,,,2.93,,,10/7/2004,0,87,Criminal,6.5,34
0,,,0.88,,,1/1/2004,0,86,Evergreen,7,1
30000000,,,4.9,,,6/15/2004,21800302,104,Mr. 3000,5,66
70000000,,,9.64,,,9/17/2004,57958696,107,Sky ptain and the World of Tomorrow,5.7,445
31000000,,,14.22,,,9/13/2004,41512007,98,Wimbledon,6,303
0,,,4.58,,,1/28/2004,0,88,Anatomy of Hell,5.2,29
0,,,9.07,,,4/29/2004,0,121,Head in the Clouds,5.8,41
30000000,,,7.71,,,9/24/2004,0,105,First Daughter,5.4,176
42000000,,,6.4,,,9/24/2004,117575636,91,The Forgotten,5.5,359
0,,,6.29,,,9/24/2004,0,90,The Last Shot,5.9,15
15000000,,,7.67,,,9/12/2004,1914166,89,A Dirty Shame,5.4,65
0,,,7.67,,,2/6/2004,16756372,126,The Motorcycle Diaries,7.2,295
4000000,,,14.9,,,4/9/2004,30039392,99,Shaun of the Dead,7.5,2479
0,,,2.6,,,12/24/1952,0,96,"Come Back, Little Sheba",6.4,8
0,,,0.23,,,2/11/1958,0,94,The Black Orchid,3.3,3
0,,,3.87,,,12/9/1940,0,84,Second Chorus,5.6,8
0,,,1.26,,,1/1/1991,0,90,Class of Nuke 'Em High 2: Subhumanoid Meltdown,4.9,14
0,,,9.59,,,11/24/1974,27634716,128,Murder on the Orient Express,6.9,240
0,,,6.01,,,3/8/1985,42400000,120,Mask,7,106
2000000,,,0.63,,,5/24/1938,4000000,106,Alexander's Ragtime Band,4.8,6
0,,,3.88,,,10/8/1968,0,116,The Boston Strangler,6.7,51
0,,,1.01,,,6/24/1980,11000000,97,The Last Flight of Noah's Ark,5.7,13
0,,,4.01,,,7/18/1985,0,90,The Man with One Red Shoe,5.4,74
0,,,3.81,,,1/7/1977,3,92,The Sentinel,6.3,53
0,,,2.28,,,7/6/1973,0,99,Sssssss,5.9,19
0,,,0.39,,,8/6/1992,0,103,Whispers in the Dark,5.8,7
0,,,1.34,,,6/17/2001,0,103,Stealing Time,4.3,2
0,,,2.31,,,9/1/1978,0,102,The Legacy,5.3,19
0,,,0.69,,,7/1/1959,0,74,The Alligator People,6.1,11
0,,,0.1,,,3/26/1993,0,97,Hear No Evil,4.7,6
0,,,2.45,,,2/1/1992,0,90,Basket se 3,4.8,23
2500000,,,4.05,,,3/2/1990,0,90,Basket se 2,5.6,33
6000000,,,5.25,,,7/22/1977,14717854,92,Or: The Killer Whale,5.5,69
0,,,0.46,,,1/19/2002,0,123,AKA,5.3,4
0,,,0.76,,,10/1/1958,0,78,I Married a Monster from Outer Space,6,12
0,,,0.44,,,9/26/1971,0,105,The Trojan Women,6.1,4
350000,,,1.22,,,8/5/1954,0,90,Robinson Crusoe,6.4,18
0,,,2.42,,,2/9/1979,0,109,Hardcore,6.7,40
0,,,0,,,1/1/1970,0,100,Watermelon Man,6.8,6
0,,,0.56,,,4/19/1984,0,94,Flashpoint,6.7,10
0,,,1.98,,,6/6/1975,0,99,Bug,6.7,23
0,,,7.96,,,6/17/1963,0,81,The Terror,5,26
0,,,0.69,,,10/10/1995,0,88,Jack O,4.1,10
47000000,,,11.62,,,10/9/1992,7191399,154,1492: Conquest of Paradise,6.1,180
100000,,,7.42,,,2/7/1980,0,95,nnibal Holoust,5.8,347
75000000,,,18,,,9/20/2004,367275019,90,Shark Tale,5.8,1612
60000000,,,7.65,,,10/1/2004,74541707,115,Ladder 49,6.2,213
0,,,0.56,,,1/1/2004,0,97,Black Cloud,0,0
22000000,,,11.95,,,9/10/2004,0,106,I Heart Huckabees,6.2,245
15000000,,,4.39,,,8/10/2004,14867514,103,Raise Your Voice,6,221
25000000,,,7.75,,,10/6/2004,36609966,97,Taxi,4.8,245
0,,,2.01,,,10/8/2004,0,85,Around the Bend,6.1,13
7000,,,7.15,,,10/8/2004,424760,77,Primer,6.9,671
0,,,3.13,,,9/3/2004,776691,106,Stage Beauty,7,34
50000000,,,9.08,,,10/15/2004,170128460,107,Shall We Dance?,5.9,308
32000000,,,11.43,,,10/10/2004,50907422,98,Team America: World Police,6.6,667
0,,,11.89,,,10/15/2004,0,91,Eulogy,6.4,34
0,,,2.67,,,10/15/2004,0,97,P.S.,5.9,15
0,,,2.02,,,5/17/1954,0,104,The Country Girl,6.7,10
0,,,0.98,,,12/12/1955,0,117,The Rose Tattoo,6.4,10
0,,,2.35,,,9/11/1987,0,106,Epidemic,6.2,23
0,,,4.4,,,10/6/1979,0,171,Tess,6.6,70
2700000,,,2.19,,,4/20/1978,0,104,I Wanna Hold Your Hand,6.5,29
0,,,0.21,,,10/23/2003,0,112,Spinning Boris,6,4
0,,,1.02,,,7/25/1978,0,102,Circle of Iron,5.9,14
780000,,,2.1,,,7/6/1976,1500000,93,nnonball,5.7,20
2000000,,,9.18,,,2/1/1967,0,108,The Fearless Vampire Killers,6.9,137
0,,,1.62,,,1/1/1971,0,106,Black Beauty,5.6,8
0,,,5.71,,,11/7/2003,0,90,The Five Obstructions,6.7,33
0,,,0.29,,,1/19/2003,0,75,Born Rich,6.7,6
0,,,2.56,,,10/15/1974,0,91,It's Alive,5.6,39
0,,,2.73,,,6/19/1986,0,101,The Decline of the American Empire,6.8,21
0,,,7,,,7/31/1992,0,72,Bébé's Kids,6.4,14
0,,,2.02,,,11/8/1991,14812000,92,All I Want For Christmas,5.6,24
0,,,0.01,,,9/6/1989,0,135,Life and Nothing But,6.4,7
30000000,,,13.04,,,10/8/2004,61255921,118,Friday Night Lights,7,154
218,,,1.62,,,10/19/2003,1162014,91,Tarnation,7.5,22
0,,,10.61,,,10/15/2004,548039,95,The Final Cut,5.9,194
0,,,1.01,,,10/17/2004,0,104,Hair Show,0.5,1
5000000,,,5.23,,,10/15/2004,0,98,Riding the Bullet,5,52
0,,,0.28,,,10/23/2003,0,107,Spin,4.8,2
0,,,3.92,,,9/3/2004,0,104,Being Julia,6.4,23
0,,,1.44,,,1/1/2004,0,99,The Dust Factory,4.5,8
0,,,0.28,,,10/3/2004,0,96,Thérèse: The Story of Saint Thérèse of Lisieux,6.3,2
45000000,,,8.7,,,9/21/2004,14793624,91,Surviving Christmas,5.1,107
10000000,,,9.74,,,10/22/2004,183474602,92,The Grudge,5.8,889
60000000,,,10.41,,,10/22/2004,13395939,103,Alfie,5.5,255
16000000,,,12.65,,,10/22/2004,109502303,126,Sideways,6.9,484
5000000,,,10.74,,,2/9/2004,8203235,101,The Machinist,7.3,1280
11000000,,,4.68,,,10/22/2004,0,125,Vera Drake,6.8,80
0,,,0.69,,,9/8/2003,0,109,Falling Angels,6.2,5
0,,,0.14,,,1/26/2004,0,80,Stella Street,3.5,2
0,,,0.16,,,2/12/2004,0,103,Lightning in a Bottle,9,1
0,,,2.8,,,5/14/2004,143597,108,Undertow,5.9,34
0,,,1.64,,,11/26/2004,0,100,Enduring Love,5.8,30
1200000,,,23.51,,,10/1/2004,103911669,103,Saw,7.2,2255
40000000,,,10.6,,,10/29/2004,124731534,152,Ray,7.2,481
20000000,,,6.77,,,9/8/2004,0,100,Birth,5.9,182
0,,,0.04,,,1/1/2004,0,80,Voices of Iraq,9,1
92000000,,,22.22,,,11/5/2004,631442092,115,The Incredibles,7.4,5290
0,,,1.19,,,11/5/2004,0,109,Fade to Black,7.1,6
0,,,2.7,,,1/10/2003,0,104,It's All About Love,5.9,25
0,,,1.12,,,9/18/2002,0,111,llas Forever,6,5
165000000,,,14.28,,,11/10/2004,305875730,100,The Polar Express,6.4,1524
0,,,6.38,,,9/4/2004,0,118,Kinsey,6.6,131
12000000,,,15.22,,,11/11/2004,24829644,87,Seed of Chucky,4.9,302
60000000,,,11.95,,,11/12/2004,61347797,97,After the Sunset,6,227
50000000,,,7.79,,,11/10/2004,40203020,108,Bridget Jones: The Edge of Reason,6.1,775
25000000,,,15.53,,,10/17/2004,116766556,106,Finding Neverland,7.2,1269
7000000,,,3.32,,,11/12/2004,29385320,192,Veer-Zaara,7.5,67
100000000,,,18.93,,,11/19/2004,347451894,131,National Treasure,6.4,1974
5000000,,,7.66,,,3/19/2004,40266982,106,Bad Edution,7.1,223
30000000,,,11.21,,,11/14/2004,140161792,87,The SpongeBob SquarePants Movie,6.7,593
0,,,0.01,,,1/1/2002,0,84,Fabled,0,0
0,,,0.19,,,11/29/1945,0,109,San Antonio,4.3,3
155000000,,,13.5,,,11/21/2004,167298192,175,Alexander,5.6,957
60000000,,,7.58,,,11/24/2004,0,99,Christmas with the Kranks,5.2,198
0,,,0.2,,,11/26/2004,0,89,Guerrilla: The Taking of Patty Hearst,7,3
0,,,0.51,,,5/19/2004,0,80,Our Music,6.2,12
27000000,,,10.86,,,12/1/2004,115505027,104,Closer,6.7,845
0,,,2.38,,,12/3/2003,0,90,I Am David,6.9,28
0,,,9.3,,,5/19/2004,92863945,119,House of Flying Daggers,7.1,452
110000000,,,11.87,,,12/9/2004,362744280,125,Ocean's Twelve,6.4,2169
65000000,,,18.86,,,12/8/2004,128905366,123,Blade: Trinity,5.7,1276
900000,,,2.74,,,7/20/1960,10000000,72,The Bellboy,6.1,22
0,,,0.17,,,3/13/2004,0,80,Bush's Brain,7,3
3000000,,,2.4,,,12/18/1960,7100000,91,Cinderfella,6.7,25
0,,,0.88,,,7/23/1958,0,111,Damn Yankees!,7.2,9
0,,,1.27,,,6/6/1957,0,101,The Delite Delinquent,6.4,11
0,,,3.16,,,12/16/1964,0,89,The Disorderly Orderly,5.8,16
0,,,1.29,,,11/28/1961,0,92,The Errand Boy,5.5,13
0,,,1.16,,,7/1/1965,0,99,The Family Jewels,6.2,14
0,,,3.43,,,6/21/1961,0,95,The Ladies Man,7,20
0,,,1.15,,,8/12/1964,0,101,The Patsy,5.7,13
16000000,,,1.05,,,5/23/2004,174318,97,Stateside,5.6,12
0,,,4.79,,,12/31/1952,0,100,The Stooge,6.7,9
0,,,1.05,,,6/21/1974,0,135,That's Entertainment!,7.9,15
0,,,0.66,,,5/17/1976,0,126,"That's Entertainment, Part II",6.6,9
0,,,2.79,,,7/1/1994,0,113,That's Entertainment! III,7.5,10
0,,,0.95,,,12/29/1960,0,99,The Wackiest Ship in the Army,5.1,8
0,,,2.33,,,3/28/1956,0,136,Alexander the Great,6,18
0,,,3.94,,,4/20/1955,0,81,Conquest of Space,5,8
0,,,5.39,,,6/14/1985,7840873,100,D.A.R.Y.L.,6.2,81
19885552,,,6.12,,,3/12/1993,19724334,109,Fire in the Sky,6.5,128
2200000,,,0.47,,,10/14/1936,0,79,The Garden of Allah,6.1,4
0,,,0.61,,,12/31/1944,0,85,I'll Be Seeing You,4.9,4
0,,,1.36,,,1/12/1940,0,81,The Invisible Man Returns,6.3,17
0,,,0.69,,,1/1/2001,0,104,The Last Minute,5.2,5
0,,,6.14,,,9/17/2003,0,93,Love Me If You Dare,7.4,531
0,,,2.23,,,12/25/1948,0,86,Portrait of Jennie,6.9,18
525000,,,1.34,,,12/25/1952,0,82,Ruby Gentry,6.8,4
0,,,0.65,,,9/15/1984,0,90,Secret Honor,6.8,9
0,,,4.51,,,7/20/1944,0,172,Since You Went Away,4.1,7
0,,,0.41,,,1/22/1999,0,109,A Slipping Down Life,2.5,2
0,,,0.95,,,7/13/1984,0,77,Splatter University,5.1,10
0,,,2,,,9/7/2003,0,97,Twist,4.5,4
0,,,1.95,,,1/15/2004,2586511,84,Control Room,7.7,19
0,,,0.04,,,10/22/2004,0,72,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,9,1
17311,,,0.68,,,12/13/2015,137365,59,The Cheat,4.8,11
0,,,1.56,,,3/18/2020,0,67,Dr. Jekyll and Mr. Hyde,6.8,26
0,,,1.52,,,10/28/2020,0,85,The Golem: How He me Into the World,7,29
0,,,0.26,,,11/21/2020,0,73,The Last of the Mohins,6.1,7
0,,,0.94,,,9/25/2021,0,32,The Idle Class,6.1,10
0,,,3.83,,,1/1/2021,0,106,The Phantom rriage,7.7,70
0,,,2.8,,,10/6/2021,0,105,Destiny,7.4,25
0,,,0.81,,,11/20/2021,0,80,The Sheik,6.3,10
0,,,2.91,,,9/18/2022,0,104,Häxan,7.5,66
0,,,0,,,4/1/2022,0,74,The Man from Beyond,0,0
0,,,1.47,,,9/6/2023,0,113,The Hunchback of Notre Dame,6.4,24
0,,,0.14,,,9/9/2023,0,60,Why Worry?,6,3
172000,,,0.72,,,12/22/2024,0,95,He Who Gets Slapped,7.2,15
212000,,,0.53,,,2/10/2024,0,85,The Marriage Circle,5.6,4
0,,,5.86,,,4/21/2024,0,49,"Sherlock, Jr.",8.1,134
245000,,,2.08,,,11/5/2025,22000000,151,The Big Parade,7,22
0,,,0.93,,,9/20/2025,0,76,The Freshman,7.7,18
546883,,,6.93,,,12/4/2024,0,140,Greed,7.5,25
0,,,11.08,,,9/6/2025,0,101,The Phantom of the Opera,7,78
0,,,2.43,,,10/6/2027,0,89,The Jazz Singer,6.4,30
0,,,0.83,,,1/20/2028,0,94,October (Ten Days that Shook the World),6.5,27
0,,,0,,,9/4/2027,0,88,Old San Francisco,0,0
217000,,,1.48,,,6/4/2027,0,63,The Unknown,7.6,24
0,,,2.62,,,1/30/2029,0,109,Pandora's Box,7.6,46
0,,,4.82,,,9/16/2028,0,76,The meraman,8.1,54
0,,,1.23,,,10/4/2028,0,63,The Fall of the House of Usher,7.5,23
0,,,6.79,,,2/18/2028,0,104,The Crowd,7.4,25
0,,,2.57,,,4/27/2028,0,110,The Man Who Laughs,7.4,32
0,,,0.25,,,1/7/2028,0,91,Sadie Thompson,6.4,7
0,,,7.52,,,2/14/2028,0,70,"Steamboat Bill, Jr.",7.9,66
0,,,0.8,,,1/4/1930,0,80,Applause,6.6,7
0,,,6.05,,,6/5/2029,0,16,Un chien Canadalou,7.5,256
0,,,9.02,,,1/9/1931,0,79,Little esar,6.9,63
0,,,2.76,,,10/28/1930,7940,63,L'Âge d'Or,6.7,53
0,,,1.33,,,11/21/1931,0,86,The Champ,6.8,13
0,,,2.51,,,9/19/1931,0,77,Monkey Business,7.1,34
0,,,1.52,,,7/15/1931,0,72,Night Nurse,6.2,17
0,,,1.38,,,11/11/1932,0,85,Boudu Saved from Drowning,6.9,24
0,,,1.52,,,8/27/1932,0,76,Doctor X,5.8,20
20000,,,2.48,,,12/1/1933,0,29,Land Without Bread,6.5,21
0,,,5.96,,,10/20/1932,0,72,The Old Dark House,6.7,46
0,,,0.43,,,3/24/1932,0,121,Rasputin and the Empress,4,3
0,,,4.85,,,4/9/1932,600000,90,Srface,7.5,88
0,,,2.09,,,2/2/1932,0,80,Shanghai Express,6.5,37
0,,,1.83,,,6/3/1932,0,100,"I Was Born, But...",7,21
0,,,4.32,,,5/6/1932,0,73,Vampyr,7.2,96
0,,,0.69,,,6/24/1932,0,88,What Price Hollywood?,5.7,9
0,,,1.63,,,8/29/1933,0,111,Dinner at Eight,6.5,19
0,,,1.38,,,8/1/1933,0,77,The Ghoul,5,13
0,,,2.29,,,5/27/1933,0,97,Gold Diggers of 1933,7.2,29
0,,,13.47,,,12/1/1932,0,70,Island of Lost Souls,7,56
0,,,1.91,,,9/13/1933,0,96,Lady for a Day,6.2,17
200000,,,1.84,,,2/9/1933,2200000,66,She Done Him Wrong,5.2,28
250000,,,1.77,,,12/22/1933,0,70,The Son of Kong,5.2,31
0,,,1.28,,,1/21/1933,0,64,The Vampire Bat,5,12
0,,,1.02,,,9/22/1933,0,68,Wild Boys of the Road,6.2,12
0,,,4.27,,,4/24/1934,0,89,L'Atalante,7.3,75
0,,,0.16,,,9/21/1934,0,109,The Barretts of Wimpole Street,4.7,3
0,,,8.05,,,5/7/1934,0,65,The Black t,6.5,54
0,,,1.47,,,11/26/1934,0,111,Imitation of Life,6.1,17
0,,,2.78,,,11/22/1934,0,59,The Lawless Frontier,4,8
0,,,1.41,,,2/16/1934,0,73,The Lost Patrol,5.9,18
0,,,0.5,,,11/2/1934,0,99,The Merry Widow,6.2,10
0,,,2.94,,,12/23/1934,0,97,The Srlet Pimpernel,7.1,14
0,,,0.33,,,2/22/1935,0,81,Toni,7.1,12
0,,,1.05,,,8/23/1935,0,80,Bonnie Scotland,7.1,14
243000,,,2,,,5/9/1935,950000,91,The Informer,6.5,23
305177,,,1.89,,,4/26/1935,0,60,Mark of the Vampire,6.1,27
0,,,2.11,,,7/8/1935,0,61,The Raven,6.8,29
0,,,8.58,,,5/13/1935,0,75,Werewolf of London,6.4,32
0,,,0.57,,,1/24/1936,0,80,The Crime of Monsieur Lange,6.2,7
0,,,2.94,,,5/29/1936,0,90,Fury,7.5,38
0,,,3.03,,,10/9/1936,0,98,Libeled Lady,6.6,21
0,,,3.85,,,4/12/1936,0,115,Mr. Deeds Goes to Town,7.3,69
0,,,3.23,,,2/8/1936,0,82,The Petrified Forest,7.1,53
0,,,0.48,,,6/4/1936,0,65,Revolt of the Zombies,3,3
0,,,0.61,,,5/17/1936,0,113,Show Boat,7.5,4
0,,,1.51,,,3/18/1936,0,93,These Three,7.2,12
0,,,4.72,,,2/28/1936,0,88,Wife vs. Secretary,6.5,12
0,,,2.58,,,12/12/1936,0,109,mille,6.8,28
1645000,,,2.88,,,6/25/1937,0,115,ptains Courageous,6.7,35
300000,,,2.14,,,8/27/1937,0,93,Dead End,7.1,19
0,,,0.23,,,10/15/1937,0,87,Double Wedding,7.5,2
0,,,1.35,,,11/25/1937,0,77,Nothing Sacred,6.6,13
0,,,5.27,,,9/3/1937,0,101,The Prisoner of Zenda,8.4,11
0,,,0.94,,,10/8/1937,0,92,Stage Door,6.2,15
500000,,,3.16,,,7/16/1937,0,97,Topper,6.2,21
0,,,0.09,,,2/11/1938,0,94,The Big Broadst of 1938,7,1
0,,,0.95,,,12/24/1938,0,103,The Dawn Patrol,6.3,10
0,,,5.27,,,6/15/1938,0,97,Holiday,7,59
0,,,0.55,,,7/15/1938,0,85,The Shopworn Angel,6.5,6
0,,,1.1,,,6/25/1940,0,84,Gaslight,7.1,20
0,,,2.48,,,10/5/1939,0,70,Intermezzo: A Love Story,8.3,6
0,,,5.26,,,10/23/1939,0,104,The Roaring Twenties,7.5,55
0,,,11.47,,,4/13/1939,0,104,Wuthering Heights,7.4,56
0,,,1.25,,,10/13/1939,0,142,The Story of the Last Chrysanthemum,7.7,19
0,,,0.79,,,2/12/1940,0,110,Abe Lincoln in Illinois,6,4
2000000,,,1.53,,,8/30/1940,9172000,119,Boom Town,6.5,8
0,,,2.16,,,6/8/1940,0,88,Brother Orchid,6.7,7
0,,,1.55,,,5/10/1940,0,107,"Edison, the Man",6,5
0,,,2.6,,,11/22/1940,0,95,The Letter,7.4,42
0,,,2.48,,,7/1/1940,0,127,The Sea Hawk,7.2,29
0,,,8.21,,,12/2/1941,0,111,Ball of Fire,7.4,38
0,,,0.63,,,12/8/1941,0,241,The 47 Ronin,6.9,8
0,,,1.12,,,8/7/1941,0,94,Here Comes Mr. Jordan,6,21
0,,,1.5,,,5/30/1941,0,86,In the Navy,6.2,8
0,,,1.87,,,9/26/1941,0,90,It Started with Eve,7.7,6
0,,,0.26,,,10/10/1941,0,71,Never Give a Sucker an Even Break,7.2,3
0,,,1.2,,,4/20/1941,0,84,That Uncertain Feeling,7,9
0,,,2.1,,,9/5/1942,0,97,Across the Pacific,6.5,17
0,,,0.95,,,12/2/1941,0,107,All Through the Night,6.2,8
0,,,0.77,,,11/14/1942,0,104,Gentleman Jim,7.1,12
0,,,0.71,,,2/20/1943,0,109,The Hard Way,7.3,4
0,,,0.11,,,4/2/1942,0,78,My Favorite Blonde,4.3,3
0,,,0.48,,,5/27/1942,0,53,Why We Fight: Prelude to War,5.6,5
0,,,5.15,,,12/17/1942,0,126,Random Harvest,6.7,24
0,,,1.75,,,8/5/1942,0,118,Tales of Manhattan,6.9,8
0,,,0.45,,,6/12/1943,0,126,Action in the North Atlantic,7,12
2627000,,,0.66,,,3/1/1944,5363000,120,A Guy Named Joe,6,8
0,,,3.24,,,8/11/1943,0,112,Heaven n Wait,6.9,40
0,,,0.43,,,3/23/1944,0,95,The Heavenly Body,5.5,2
0,,,0.06,,,4/13/1944,0,45,The Memphis Belle: A Story of a Flying Fortress,5,1
0,,,0.51,,,5/28/1943,0,100,Mr. Lucky,6.4,14
0,,,0.28,,,1/1/1943,0,125,Thousands Cheer,7,2
0,,,3.12,,,9/13/1943,0,97,Day of Wrath,8.3,41
0,,,1.74,,,3/30/1944,0,107,Cover Girl,6.4,17
0,,,2.04,,,3/3/1944,0,70,The Curse of the t People,5.8,21
0,,,1.2,,,11/24/1944,0,137,Henry V,7,25
